year,month,lon,lat,est,se
2021,10,-0.025,39.95,0,0.4332293707583636
2021,10,-0.025,39.975,0,0.4332293707583636
2021,10,-0.025,40,0.75,0.4332293707583636
2021,10,-0.025,40.025,0.75,0.4332293707583636
2021,10,-0.025,40.025000000000006,0.75,0.4332293707583636
2021,10,-0.07500000000000001,38.55,0,0.08912880535463237
2021,10,-0.07500000000000001,38.875,0,0.48909530177074306
2021,10,-0.07500000000000001,39.95,0,0.4332293707583636
2021,10,-0.07500000000000001,39.975,0.75,0.4332293707583636
2021,10,-0.07500000000000001,40,0.75,0.4332293707583636
2021,10,-0.125,38.574999999999996,0,0.08912880535463237
2021,10,-0.125,38.575,0,0.08912880535463237
2021,10,-0.125,38.9,0,0.48909530177074306
2021,10,-0.125,38.900000000000006,0,0.48909530177074306
2021,10,-0.125,38.925,0,0.48909530177074306
2021,10,-0.125,39.975,0,0.4332293707583636
2021,10,-0.15,38.9,0,0.48909530177074306
2021,10,-0.15000000000000002,38.900000000000006,0,0.48909530177074306
2021,10,-0.15000000000000002,40,0,0.4332293707583636
2021,10,-0.2,38.95,0.10083333333333333,0.48909530177074306
2021,10,-0.2,38.975,0,0.48909530177074306
2021,10,-0.2,39,0,0.48909530177074306
2021,10,-0.25,38.925,0,0.48909530177074306
2021,10,-0.25,38.95,0.3025,0.48909530177074306
2021,10,-0.25,38.975,0,0.48909530177074306
2021,10,-0.25,39.1,0,0.48909530177074306
2021,10,-0.25,39.125,0,0.48909530177074306
2021,10,-0.25,39.175,0,0.48909530177074306
2021,10,-0.25,39.2,0,0.48909530177074306
2021,10,-0.25,39.625,0,0.48909530177074306
2021,10,-0.25,39.65,0,0.48909530177074306
2021,10,-0.25,39.650000000000006,0,0.48909530177074306
2021,10,-0.25,39.675,0,0.48909530177074306
2021,10,-0.25,39.7,0,0.48909530177074306
2021,10,-0.27499999999999997,38.95,0,0.48909530177074306
2021,10,-0.275,38.975,0,0.48909530177074306
2021,10,-0.27499999999999997,39.15,0,0.48909530177074306
2021,10,-0.275,39.150000000000006,0,0.48909530177074306
2021,10,-0.275,39.175,0,0.48909530177074306
2021,10,-0.27499999999999997,39.2,0,0.48909530177074306
2021,10,-0.275,39.225,0.03025,0.48909530177074306
2021,10,-0.27499999999999997,39.625,0,0.48909530177074306
2021,10,-0.275,39.625,0,0.48909530177074306
2021,10,-0.27499999999999997,39.65,0,0.48909530177074306
2021,10,-0.275,39.650000000000006,0,0.48909530177074306
2021,10,-0.27499999999999997,39.675,0,0.48909530177074306
2021,10,-0.275,39.675,0,0.48909530177074306
2021,10,-0.27499999999999997,39.7,0,0.48909530177074306
2021,10,-0.275,39.7,0,0.48909530177074306
2021,10,-0.32499999999999996,39.1,0,0.48909530177074306
2021,10,-0.32499999999999996,39.2,0,0.48909530177074306
2021,10,-0.325,39.2,0,0.48909530177074306
2021,10,-0.32499999999999996,39.225,0,0.48909530177074306
2021,10,-0.325,39.225,0,0.48909530177074306
2021,10,-0.32499999999999996,39.25,0,0.48909530177074306
2021,10,-0.32499999999999996,39.275,0,0.48909530177074306
2021,10,-0.32499999999999996,39.3,0,0.48909530177074306
2021,10,-0.325,39.3,0,0.48909530177074306
2021,10,-0.32499999999999996,39.324999999999996,0,0.48909530177074306
2021,10,-0.325,39.325,0,0.48909530177074306
2021,10,-0.32499999999999996,39.625,0,0.48909530177074306
2021,10,-0.325,39.625,0,0.48909530177074306
2021,10,-0.32499999999999996,39.65,0,0.48909530177074306
2021,10,-0.325,39.650000000000006,0,0.48909530177074306
2021,10,-0.32499999999999996,39.675,0,0.48909530177074306
2021,10,-0.325,39.675,0,0.48909530177074306
2021,10,-0.32499999999999996,39.7,0,0.48909530177074306
2021,10,-0.325,39.7,0,0.48909530177074306
2021,10,-0.32499999999999996,39.725,0,0.48909530177074306
2021,10,-0.375,39.3,0,0.48909530177074306
2021,10,-0.375,39.324999999999996,0,0.48909530177074306
2021,10,-0.375,39.425,0.121,0.48909530177074306
2021,10,-0.375,39.45,0.363,0.48909530177074306
2021,10,-0.375,39.475,0.484,0.48909530177074306
2021,10,-0.375,39.55,0,0.48909530177074306
2021,10,-0.375,39.574999999999996,0,0.48909530177074306
2021,10,-0.375,39.575,0,0.48909530177074306
2021,10,-0.375,39.625,0,0.48909530177074306
2021,10,-0.375,39.65,0,0.48909530177074306
2021,10,-0.4,38.5,0,0.08912880535463237
2021,10,-0.4,38.525,0,0.08912880535463237
2021,10,-0.4,39.324999999999996,0,0.48909530177074306
2021,10,-0.4,39.425,0.121,0.48909530177074306
2021,10,-0.4,39.45,0.242,0.48909530177074306
2021,10,-0.4,39.475,0.121,0.48909530177074306
2021,10,-0.4,39.5,0,0.48909530177074306
2021,10,-0.425,38.35,6.442217723060489e-7,0.08912880535463237
2021,10,-0.425,38.375,0,0.08912880535463237
2021,10,-0.425,38.375,0,0.08912880535463237
2021,10,-0.425,38.4,0,0.08912880535463237
2021,10,-0.425,38.425,0,0.08912880535463237
2021,10,-0.45,38.35,0,0.08912880535463237
2021,10,-0.45,38.375,1.2884435446120978e-6,0.08912880535463237
2021,10,-0.45,38.375,0,0.08912880535463237
2021,10,-0.45,38.4,0,0.08912880535463237
2021,10,-0.45,38.425,6.442217723060489e-7,0.08912880535463237
2021,10,-0.45,38.45,0,0.08912880535463237
2021,10,-0.45,38.475,0,0.08912880535463237
2021,10,-0.45,38.875,0,0.48909530177074306
2021,10,-0.45,38.9,0,0.48909530177074306
2021,10,-0.45,38.900000000000006,0,0.48909530177074306
