COUNTRY,ID_0,year,month,est,se
Albania,ALB,2020,01,0,0
Austria,AUT,2020,01,7.918,9.296780799243296
Belgium,BEL,2020,01,0,0
Bulgaria,BGR,2020,01,0,0
China,CHN,2020,01,0,0
Croatia,HRV,2020,01,0.336,0.47257520811753057
France,FRA,2020,01,0,0
Germany,DEU,2020,01,0.958,0.7627672578207939
Greece,GRC,2020,01,0,0
Hungary,HUN,2020,01,1.069,2.4722091115437745
India,IND,2020,01,0,0
Italy,ITA,2020,01,0.003,0.05471740119919799
Kosovo,XKO,2020,01,0,0
Netherlands,NLD,2020,01,0,0
Pakistan,PAK,2020,01,0,0
Peru,PER,2020,01,0,0
Romania,ROU,2020,01,0,0
Serbia,SRB,2020,01,0,0
Slovenia,SVN,2020,01,0,0
Spain,ESP,2020,01,0.017,0.18296290543356314
Switzerland,CHE,2020,01,2.637,1.73728104560801
Turkey,TUR,2020,01,0,0
United States,USA,2020,01,0,0
