year,month,gid_2,se,est
2021,11,ALA.1.1_2,0,0
2021,11,ALA.1.2_2,0,0
2021,11,ALA.2.1_2,0,0
2021,11,ALA.2.2_2,0,0
2021,11,ALA.2.3_2,0,0
2021,11,ALA.2.4_2,0,0
2021,11,ALA.2.5_2,0,0
2021,11,ALA.2.6_2,0,0
2021,11,ALA.2.7_2,0,0
2021,11,ALA.2.8_2,0,0
2021,11,ALA.3.1_2,0,0
2021,11,ALB.1.1_1,0,0
2021,11,ALB.1.2_1,0,0
2021,11,ALB.1.3_1,0,0
2021,11,ALB.10.1_1,0,0
2021,11,ALB.10.2_1,0,0
2021,11,ALB.10.3_1,0,0
2021,11,ALB.11.1_1,0,0
2021,11,ALB.11.2_1,0,0
2021,11,ALB.12.1_1,0,0
2021,11,ALB.12.2_1,0,0
2021,11,ALB.12.3_1,0,0
2021,11,ALB.2.1_1,0,0
2021,11,ALB.2.2_1,0,0
2021,11,ALB.2.3_1,0,0
2021,11,ALB.3.1_1,0,0
2021,11,ALB.3.2_1,0,0
2021,11,ALB.4.1_1,0,0
2021,11,ALB.4.2_1,0,0
2021,11,ALB.4.3_1,0,0
2021,11,ALB.4.4_1,0,0
2021,11,ALB.5.1_1,0,0
2021,11,ALB.5.2_1,0,0
2021,11,ALB.5.3_1,0,0
2021,11,ALB.6.1_1,0,0
2021,11,ALB.6.2_1,0,0
2021,11,ALB.6.3_1,0,0
2021,11,ALB.7.1_1,0,0
2021,11,ALB.7.2_1,0,0
2021,11,ALB.7.3_1,0,0
2021,11,ALB.7.4_1,0,0
2021,11,ALB.8.1_1,0,0
2021,11,ALB.8.2_1,0,0
2021,11,ALB.8.3_1,0,0
2021,11,ALB.9.1_1,0,0
2021,11,ALB.9.2_1,0,0
2021,11,ALB.9.3_1,0,0
2021,11,ALB.9.4_1,0,0
2021,11,AND.2_1,0,0
2021,11,AND.3_1,0,0
2021,11,AND.4_1,0,0
2021,11,AND.5_1,0,0
2021,11,AND.6_1,0,0
2021,11,AND.7_1,0,0
2021,11,ARM.1_1,0,0
2021,11,ARM.2_1,0,0
2021,11,ARM.3_1,0,0
2021,11,ARM.8_1,0,0
2021,11,AUT.1.1_2,0.25206570685402746,0.668235140923067
2021,11,AUT.1.2_2,0.11739034749645523,0.647105395594013
2021,11,AUT.1.3_2,0.3979421674695782,0.7240260517275406
2021,11,AUT.1.4_2,0.3000748980764436,0.723260838935316
2021,11,AUT.1.5_2,0.2569912319947366,0.6769606804557016
2021,11,AUT.1.6_2,0.2778155950460894,0.68680688458829
2021,11,AUT.1.7_2,0.4192069750996399,0.7027112433367267
2021,11,AUT.1.8_2,0.5052941395050069,0.7090842657867692
2021,11,AUT.1.9_2,0.05271634864951581,0.5071761852770632
2021,11,AUT.2.10_2,0.5582251468445886,0.7114414224195549
2021,11,AUT.2.1_2,0.3669672752817951,0.6993212088481685
2021,11,AUT.2.2_2,0.3011290704694408,0.6488969730398875
2021,11,AUT.2.3_2,0.5208840064439789,0.7591981399344101
2021,11,AUT.2.4_2,0.25730242961116623,0.7739392231465557
2021,11,AUT.2.5_2,0.5548441759567725,0.7009225565098791
2021,11,AUT.2.6_2,0.5497341981058584,0.6102045859657411
2021,11,AUT.2.7_2,0.46015170899182517,0.7346837414407225
2021,11,AUT.2.8_2,0.21511711872269784,0.7213280189018508
2021,11,AUT.2.9_2,0.538581297223353,0.760183421036986
2021,11,AUT.3.10_2,0.7189597110088602,0.8704159106197756
2021,11,AUT.3.11_2,0.4528488980628203,0.8711560385425968
2021,11,AUT.3.12_2,0.8196692756213112,0.8731020440394708
2021,11,AUT.3.13_2,0.5911375293342112,0.8776194709922781
2021,11,AUT.3.14_2,0.25855338643245734,0.8836861317350305
2021,11,AUT.3.15_2,0.562098038542113,0.875784967379794
2021,11,AUT.3.16_2,0.9469296434047973,0.8596852120293668
2021,11,AUT.3.17_2,0.32420160557310645,0.8473400846861326
2021,11,AUT.3.18_2,0.4520251373462123,0.883564183325243
2021,11,AUT.3.19_2,0.6066172959852847,0.8688496690206965
2021,11,AUT.3.1_2,0.5733797843350962,0.8908580253334976
2021,11,AUT.3.20_2,0.652716534654997,0.8712020249006878
2021,11,AUT.3.21_2,0.15351629043045656,0.872022859411902
2021,11,AUT.3.22_2,0.39690754268548706,0.886251486729473
2021,11,AUT.3.23_2,0.05015853066497857,0.6542272685822471
2021,11,AUT.3.24_2,0.9366368014492144,0.8616958914626008
2021,11,AUT.3.2_2,0.44235658967986985,0.8809700578380539
2021,11,AUT.3.3_2,0.37999172729518355,0.8912427190824973
2021,11,AUT.3.4_2,0.49679613684135754,0.8914385062782776
2021,11,AUT.3.5_2,0.565819645737641,0.8715288489743203
