NAME_1,year,month,est,se
Bayern,2016,08,8.11,7.429507449409123
Béchar,2016,08,0.095,0.2933616557443407
Béjaïa,2016,08,1.0590000000000002,0.9975493457936095
Bekaa,2016,08,0.352,0.47783294604320065
Békés,2016,08,1.465,1.8660293639074945
Belgorod,2016,08,0.426,0.494741112874975
Ben Arous (Tunis Sud),2016,08,0.418,0.7765845294409242
Berat,2016,08,0.759,0.9632229336671786
Berlin,2016,08,0.033,0.17872588772459053
Bern,2016,08,1.524,1.484380807921469
Bié,2016,08,0.283,0.4506818324651152
Bihar,2016,08,3.453,5.867972764088333
Bihor,2016,08,1.364,1.494455270915552
Bío-Bío,2016,08,0.043,0.28666855295781846
Bioko Sur,2016,08,0.34,0.47394580346767984
Biškek,2016,08,0.146,0.3532829019480122
Biskra,2016,08,0.426,0.494741112874975
Bistrița-Năsăud,2016,08,0.439,0.4965133689293024
Bizerte,2016,08,0.368,0.4825026516080599
Bjelovarska-Bilogorska,2016,08,0.512,0.5001060948499889
Blagoevgrad,2016,08,1.327,1.4330795942387997
Blida,2016,08,0.667,0.9388665169934687
Bogotá D.C.,2016,08,0.005,0.07056897321046962
Bolu,2016,08,0.527,0.4995202903992194
Bordj Bou Arréridj,2016,08,0.375,0.4843651614325803
Borsod-Abaúj-Zemplén,2016,08,3.397,4.182085562715641
Boumerdès,2016,08,1.222,1.4569542123700443
Bourgogne-Franche-Comté,2016,08,2.608,2.4745027342928334
Boyacá,2016,08,0.291,0.45445079549443584
Braga,2016,08,0.547,0.4980351785155734
Brandenburg,2016,08,3.782,2.7995625886732673
Braničevski,2016,08,0.542,0.4984821807090846
Brașov,2016,08,1.702,1.9240425478747183
Bratislavský,2016,08,0.8049999999999999,0.917210005373134
Bremen,2016,08,0.681,0.4663222667388471
Bretagne,2016,08,0.8200000000000001,0.9709376305008433
Brunei and Muara,2016,08,0.255,0.4360793106364542
Bruxelles,2016,08,0.484,0.49999399395792143
Bucharest,2016,08,0.288,0.4530576798391804
Budapest,2016,08,0.021,0.14345584540052586
Buenos Aires,2016,08,0.72,1.4409607006155867
Bujumbura Mairie,2016,08,0.327,0.46935199082489393
Bur Sa`id,2016,08,0.33,0.47044800065609943
Burgas,2016,08,1.373,1.3990461421771458
Burgenland,2016,08,1.474,1.8512831251710518
Bursa,2016,08,1.57,1.9117425929005427
Busan,2016,08,1.213,1.7474798732029648
