COUNTRY,ID_0,year,month,est,se
Albania,ALB,2022,01,0,0
Austria,AUT,2022,01,8.199,9.69464009440212
Belgium,BEL,2022,01,0,0
Bulgaria,BGR,2022,01,0,0
China,CHN,2022,01,0,0
Croatia,HRV,2022,01,0.353,0.4781418404821101
France,FRA,2022,01,0,0
Germany,DEU,2022,01,0.954,0.7115273120113351
Greece,GRC,2022,01,0,0
Hungary,HUN,2022,01,0.947,2.0395205808427104
India,IND,2022,01,0,0
Italy,ITA,2022,01,0,0
Kosovo,XKO,2022,01,0,0
Netherlands,NLD,2022,01,0,0
Pakistan,PAK,2022,01,0,0
Peru,PER,2022,01,0,0
Romania,ROU,2022,01,0.001,0.03162277660168379
Serbia,SRB,2022,01,0,0
Slovenia,SVN,2022,01,0,0
Spain,ESP,2022,01,0.076,0.3275223250567241
Switzerland,CHE,2022,01,2.59,1.7363390301064299
Turkey,TUR,2022,01,0,0
United States,USA,2022,01,0,0
