gid_2,month,year,est,se
ALA.1.2_2,12,2021,0,0
ALA.2.4_2,12,2021,0,0
ALA.2.5_2,12,2021,0,0
ALA.2.6_2,12,2021,0,0
ALA.3.1_2,12,2021,0,0
ALB.1.1_1,12,2021,0,0
ALB.1.2_1,12,2021,0,0
ALB.1.3_1,12,2021,0,0
ALB.10.1_1,12,2021,0,0
ALB.10.2_1,12,2021,0,0
ALB.10.3_1,12,2021,0,0
ALB.11.1_1,12,2021,0,0
ALB.11.2_1,12,2021,0,0
ALB.12.1_1,12,2021,0,0
ALB.12.2_1,12,2021,0,0
ALB.12.3_1,12,2021,0,0
ALB.2.1_1,12,2021,0,0
ALB.2.2_1,12,2021,0,0
ALB.2.3_1,12,2021,0,0
ALB.3.1_1,12,2021,0,0
ALB.3.2_1,12,2021,0,0
ALB.4.1_1,12,2021,0,0
ALB.4.2_1,12,2021,0,0
ALB.4.3_1,12,2021,0,0
ALB.4.4_1,12,2021,0,0
ALB.5.1_1,12,2021,0,0
ALB.5.2_1,12,2021,0,0
ALB.5.3_1,12,2021,0,0
ALB.6.1_1,12,2021,0,0
ALB.6.2_1,12,2021,0,0
ALB.6.3_1,12,2021,0,0
ALB.7.1_1,12,2021,0,0
ALB.7.2_1,12,2021,0,0
ALB.7.3_1,12,2021,0,0
ALB.7.4_1,12,2021,0,0
ALB.8.1_1,12,2021,0,0
ALB.8.2_1,12,2021,0,0
ALB.8.3_1,12,2021,0,0
ALB.9.1_1,12,2021,0,0
ALB.9.2_1,12,2021,0,0
ALB.9.3_1,12,2021,0,0
ALB.9.4_1,12,2021,0,0
AND.2_1,12,2021,0,0
AND.3_1,12,2021,0,0
AND.4_1,12,2021,0,0
AND.5_1,12,2021,0,0
AND.6_1,12,2021,0,0
AND.7_1,12,2021,0,0
ARM.11_1,12,2021,0,0
ARM.1_1,12,2021,0,0
ARM.2_1,12,2021,0,0
ARM.3_1,12,2021,0,0
ARM.4_1,12,2021,0,0
ARM.5_1,12,2021,0,0
ARM.6_1,12,2021,0,0
ARM.9_1,12,2021,0,0
AUT.1.1_2,12,2021,0,0
AUT.1.2_2,12,2021,0,0
AUT.1.3_2,12,2021,0,0
AUT.1.4_2,12,2021,0,0
AUT.1.5_2,12,2021,0,0
AUT.1.6_2,12,2021,0,0
AUT.1.7_2,12,2021,0,0
AUT.1.8_2,12,2021,0,0
AUT.1.9_2,12,2021,0,0
AUT.2.10_2,12,2021,0,0
AUT.2.1_2,12,2021,0,0
AUT.2.2_2,12,2021,0,0
AUT.2.3_2,12,2021,0,0
AUT.2.4_2,12,2021,0,0
AUT.2.5_2,12,2021,0,0
AUT.2.6_2,12,2021,0,0
AUT.2.7_2,12,2021,0,0
AUT.2.8_2,12,2021,0,0
AUT.2.9_2,12,2021,0,0
AUT.3.10_2,12,2021,0,0
AUT.3.11_2,12,2021,0,0
AUT.3.12_2,12,2021,0,0
AUT.3.13_2,12,2021,0,0
AUT.3.14_2,12,2021,0,0
AUT.3.15_2,12,2021,0,0
AUT.3.16_2,12,2021,0,0
AUT.3.17_2,12,2021,0,0
AUT.3.18_2,12,2021,0,0
AUT.3.19_2,12,2021,0,0
AUT.3.1_2,12,2021,0,0
AUT.3.20_2,12,2021,0,0
AUT.3.21_2,12,2021,0,0
AUT.3.22_2,12,2021,0,0
AUT.3.23_2,12,2021,0,0
AUT.3.24_2,12,2021,0,0
AUT.3.2_2,12,2021,0,0
AUT.3.3_2,12,2021,0,0
AUT.3.4_2,12,2021,0,0
AUT.3.5_2,12,2021,0,0
AUT.3.6_2,12,2021,0,0
AUT.3.7_2,12,2021,0,0
AUT.3.8_2,12,2021,0,0
AUT.3.9_2,12,2021,0,0
AUT.4.10_2,12,2021,0,0
AUT.4.11_2,12,2021,0,0
AUT.4.12_2,12,2021,0,0
AUT.4.13_2,12,2021,0,0
AUT.4.14_2,12,2021,0,0
AUT.4.15_2,12,2021,0,0
AUT.4.16_2,12,2021,0,0
AUT.4.17_2,12,2021,0,0
AUT.4.18_2,12,2021,0,0
AUT.4.1_2,12,2021,0,0
AUT.4.2_2,12,2021,0,0
AUT.4.3_2,12,2021,0,0
AUT.4.4_2,12,2021,0,0
AUT.4.5_2,12,2021,0,0
AUT.4.6_2,12,2021,0,0
AUT.4.7_2,12,2021,0,0
AUT.4.8_2,12,2021,0,0
AUT.4.9_2,12,2021,0,0
AUT.5.1_2,12,2021,0,0
AUT.5.2_2,12,2021,0,0
AUT.5.3_2,12,2021,0,0
AUT.5.4_2,12,2021,0,0
AUT.5.5_2,12,2021,0,0
AUT.5.6_2,12,2021,0,0
AUT.6.10_2,12,2021,0,0
AUT.6.11_2,12,2021,0,0
AUT.6.12_2,12,2021,0,0
AUT.6.13_2,12,2021,0,0
AUT.6.1_2,12,2021,0,0
AUT.6.2_2,12,2021,0,0
AUT.6.3_2,12,2021,0,0
AUT.6.4_2,12,2021,0,0
AUT.6.5_2,12,2021,0,0
AUT.6.6_2,12,2021,0,0
AUT.6.7_2,12,2021,0,0
AUT.6.8_2,12,2021,0,0
AUT.6.9_2,12,2021,0,0
AUT.7.1_2,12,2021,0,0
AUT.7.2_2,12,2021,0,0
AUT.7.3_2,12,2021,0,0
AUT.7.4_2,12,2021,0,0
AUT.7.5_2,12,2021,0,0
AUT.7.6_2,12,2021,0,0
AUT.7.7_2,12,2021,0,0
AUT.7.8_2,12,2021,0,0
AUT.7.9_2,12,2021,0,0
AUT.8.1_2,12,2021,0,0
AUT.8.2_2,12,2021,0,0
AUT.8.3_2,12,2021,0,0
AUT.8.4_2,12,2021,0,0
AUT.9.1_2,12,2021,0,0
AZE.4.10_1,12,2021,0,0
AZE.4.3_1,12,2021,0,0
AZE.5.1_1,12,2021,0,0
AZE.5.3_1,12,2021,0,0
AZE.5.4_1,12,2021,0,0
AZE.5.5_1,12,2021,0,0
AZE.7.1_1,12,2021,0,0
AZE.7.2_1,12,2021,0,0
AZE.7.4_1,12,2021,0,0
AZE.7.6_1,12,2021,0,0
AZE.7.7_1,12,2021,0,0
AZE.7_1,12,2021,0,0
BEL.1.1_1,12,2021,0,0
BEL.2.1_1,12,2021,0,0
BEL.2.2_1,12,2021,0,0
BEL.2.3_1,12,2021,0,0
BEL.2.4_1,12,2021,0,0
BEL.2.5_1,12,2021,0,0
BEL.3.1_1,12,2021,0,0
BEL.3.2_1,12,2021,0,0
BEL.3.3_1,12,2021,0,0
BEL.3.4_1,12,2021,0,0
BEL.3.5_1,12,2021,0,0
