COUNTRY,ID_0,year,month,est,se
Albania,ALB,2022,04,0,0
Austria,AUT,2022,04,11.818999999999999,12.24487769910012
Belgium,BEL,2022,04,0,0
Bulgaria,BGR,2022,04,0,0
China,CHN,2022,04,0,0
Croatia,HRV,2022,04,0.443,0.49698893146427114
France,FRA,2022,04,0,0
Germany,DEU,2022,04,0.891,0.8774493618358544
Greece,GRC,2022,04,0,0
Hungary,HUN,2022,04,1.39,2.31454778858716
India,IND,2022,04,0,0
Italy,ITA,2022,04,0,0
Kosovo,XKO,2022,04,0,0
Netherlands,NLD,2022,04,0,0
Pakistan,PAK,2022,04,0,0
Peru,PER,2022,04,0,0
Romania,ROU,2022,04,0.001,0.03162277660168379
Serbia,SRB,2022,04,0,0
Slovenia,SVN,2022,04,0,0
Spain,ESP,2022,04,0.618,1.1266043051332937
Switzerland,CHE,2022,04,2.142,1.9182645206781619
Turkey,TUR,2022,04,0,0
United States,USA,2022,04,0,0
