COUNTRY,ID_0,year,month,est,se
Albania,ALB,2018,03,0,0
Austria,AUT,2018,03,0,0
Belgium,BEL,2018,03,0,0
Bulgaria,BGR,2018,03,0,0
China,CHN,2018,03,0,0
Croatia,HRV,2018,03,0,0
France,FRA,2018,03,0,0
Germany,DEU,2018,03,0,0
Greece,GRC,2018,03,0,0
Hungary,HUN,2018,03,2.699,7.394137196112049
India,IND,2018,03,0,0
Italy,ITA,2018,03,0.304,1.058508813529433
Kosovo,XKO,2018,03,0,0
Netherlands,NLD,2018,03,0,0
Pakistan,PAK,2018,03,0,0
Peru,PER,2018,03,0,0
Romania,ROU,2018,03,0,0
Serbia,SRB,2018,03,0,0
Slovenia,SVN,2018,03,0,0
Spain,ESP,2018,03,0,0
Turkey,TUR,2018,03,0,0
United States,USA,2018,03,0,0
