year,month,gid_3,est,se
2014,05,ESP.10.1.1_1,0.107,0.30926792049394103
2014,05,ESP.10.1.2_1,0.09,0.28632495871296654
2014,05,ESP.10.1.3_1,0.092,0.28917057184232914
2014,05,ESP.10.1.4_1,0.154,0.3611293596682696
2014,05,ESP.10.1.5_1,0.123,0.32860155048170264
2014,05,ESP.10.1.6_1,0.114,0.31797028965786267
2014,05,ESP.10.1.7_1,0.127,0.33313958333104454
2014,05,ESP.10.1.8_1,0.001,0.03162277660168379
2014,05,ESP.10.1.8_1,0.001,0.03162277660168379
2014,05,ESP.10.1.9_1,0.001,0.03162277660168379
2014,05,ESP.10.1.9_1,0.001,0.03162277660168379
2014,05,ESP.10.2.1_1,0.147,0.35428310221702153
2014,05,ESP.10.2.2_1,0.112,0.3155242550986462
2014,05,ESP.10.2.3_1,0.126,0.3320154126456093
2014,05,ESP.10.2.5_1,0.938,0.24127621974453722
2014,05,ESP.10.2.7_1,0.013,0.11333068359382575
2014,05,ESP.10.2.8_1,0.104,0.30541328929383094
2014,05,ESP.10.3.1_1,0.193,0.39485048677557294
2014,05,ESP.10.3.10_1,0.992,0.08912880535463237
2014,05,ESP.10.3.11_1,0.196,0.39716714584887525
2014,05,ESP.10.3.12_1,0.007,0.08341437500789632
2014,05,ESP.10.3.13_1,0.177,0.3818596821043259
2014,05,ESP.10.3.14_1,0.004,0.06315051850925682
2014,05,ESP.10.3.16_1,0.005,0.07056897321046962
2014,05,ESP.10.3.17_1,0.187,0.3901066305296325
2014,05,ESP.10.3.18_1,0.166,0.37226681638655706
2014,05,ESP.10.3.2_1,0.006,0.07726558075864033
2014,05,ESP.10.3.3_1,0.179,0.38354413840665863
2014,05,ESP.10.3.4_1,0.001,0.03162277660168379
2014,05,ESP.10.3.5_1,0.156,0.3630369069334353
2014,05,ESP.10.3.6_1,0.183,0.3868600013708585
2014,05,ESP.10.3.7_1,0.189,0.3917045218432287
2014,05,ESP.10.3.8_1,0.18,0.38437969216355294
2014,05,ESP.10.3.9_1,0.163,0.36955049393495276
