target,from,to,cell
aegypti,2021-01,2026-8,FALSE
japonicus,2021-01,2026-8,FALSE
koreicus,2021-01,2026-8,FALSE
culex,2021-01,2026-8,FALSE
albopictus,2015-01,2026-8,FALSE
biting,2021-01,2026-8,FALSE
