ID_0,est,se
ALB,0.98025312159505,0.2556309292174498
ARG,0.7349590340549199,0.41556076119345947
AUT,0.29773919691000006,0.04185159325625424
BEL,0,0
BGR,0.9999999989853743,0.35682002326644296
BIH,0.8794452,0.42102047751873467
BRA,0.70588519,0.38036893409936956
CHE,0.607559248,0.3660942448784605
CHN,0.9354606709870258,0.30763217377364616
COL,0.049000000000000044,0.21597603025716916
DEU,0.16800000000000004,0.12468445323915173
ESP,0.9999999999999992,0.06779498555395247
FJI,0.030000000000000027,0.17067257872642908
FRA,0.9617343781972212,0.1821906268164381
GRC,0.23512525681600005,0.21713894470396344
GTM,0.42127000000000003,0.3481435940341659
HND,0.646,0.4784484433174727
HRV,0.9998656792556754,0.4011738775192064
HUN,0.8104034157464506,0.16550331157706988
IND,0.29779200000000006,0.18427256666272263
ITA,0.9999999966690909,0.27856978167841084
KOR,0.3204640000000001,0.31684820989357554
LKA,0.557,0.49698893146427114
MEX,0.19946400000000009,0.27726230263580887
MMR,0.33899999999999997,0.47360669685225454
NLD,0.44800000000000006,0.00194548616316306
PAK,0,0
PAN,0.0010000000000000009,0.03162277660168379
PER,0.0020000000000000018,0.02234948544149282
PRT,0.30003385074256006,0.17776171737557173
PSE,0.479,0.49980877224075293
ROU,0.6582520000000001,0.2777761770903397
SLB,0.726,0.44623214039681536
SRB,0.8429639154460399,0.31633178523054845
SVN,0.91933957708,0.42000762566117433
THA,0.40900000000000003,0.49189527438364455
TUR,0.9996343271667902,0.37819372582096866
USA,0.7254991627871796,0.185295080955051
XKO,0.46399999999999997,0.498951854343636
ZAF,0.475,0.499624483612067
