year,month,masked_lon,masked_lat,TigacellID,est,se
2021,10,-0.5,45.050000000000004,-0.5_45.05,0,0
2021,10,-0.5,45.150000000000006,-0.5_45.15,0,0
2021,10,-0.5,49.300000000000004,-0.5_49.3,0,0
2021,10,-0.75,37.6,-0.75_37.6,0,0
2021,10,-0.75,37.9,-0.75_37.9,0,0
2021,10,-0.75,37.95,-0.75_37.95,0.19594627512732776,0
2021,10,-0.75,38,-0.75_38,0,0
2021,10,-0.75,38.050000000000004,-0.75_38.05,0.48986568781831935,0
2021,10,-0.75,38.1,-0.75_38.1,0,0
2021,10,-0.75,38.15,-0.75_38.15,0,0
2021,10,-0.75,38.2,-0.75_38.2,0,0
2021,10,-0.75,38.25,-0.75_38.25,0.09797313756366388,0
2021,10,-0.75,38.300000000000004,-0.75_38.3,0,0
2021,10,-0.75,38.35,-0.75_38.35,0,0
2021,10,-0.75,38.400000000000006,-0.75_38.4,0,0
2021,10,-0.75,38.6,-0.75_38.6,0,0
2021,10,-0.75,38.85,-0.75_38.85,0,0
2021,10,-0.75,38.900000000000006,-0.75_38.9,0,0
2021,10,-0.75,38.95,-0.75_38.95,0,0
2021,10,-0.75,39,-0.75_39,0,0
2021,10,-0.75,39.050000000000004,-0.75_39.05,0,0
2021,10,-0.75,39.1,-0.75_39.1,0,0
2021,10,-0.75,39.300000000000004,-0.75_39.3,0,0
2021,10,-0.75,39.35,-0.75_39.35,0,0
2021,10,-0.75,39.400000000000006,-0.75_39.4,0,0
2021,10,-0.75,39.45,-0.75_39.45,0,0
2021,10,-0.75,39.5,-0.75_39.5,0,0
2021,10,-0.75,39.550000000000004,-0.75_39.55,0,0
2021,10,-0.75,39.6,-0.75_39.6,0,0
2021,10,-0.75,39.650000000000006,-0.75_39.65,0,0
2021,10,-0.75,39.7,-0.75_39.7,0,0
2021,10,-0.75,39.75,-0.75_39.75,0,0
2021,10,-0.75,39.900000000000006,-0.75_39.9,0,0
2021,10,-0.75,39.95,-0.75_39.95,0,0
2021,10,-0.75,40,-0.75_40,0,0
2021,10,-0.75,40.050000000000004,-0.75_40.05,0,0
2021,10,-0.75,40.1,-0.75_40.1,0,0
2021,10,-0.75,40.2,-0.75_40.2,0,0
2021,10,-0.75,40.35,-0.75_40.35,0,0
2021,10,-0.75,40.650000000000006,-0.75_40.65,0,0
