year,month,lon,lat,est,se
2022,05,-0.025,38.8,0.332,0.4711666350644939
2022,05,-0.025,39.95,0,0.4998498272980094
2022,05,-0.025,39.975,0,0.4998498272980094
2022,05,-0.025,40,0,0.4998498272980094
2022,05,-0.025,40.025,0,0.4998498272980094
2022,05,-0.025,40.025000000000006,0,0.4998498272980094
2022,05,-0.07500000000000001,39.95,0,0.4998498272980094
2022,05,-0.07500000000000001,39.975,0,0.4998498272980094
2022,05,-0.07500000000000001,40,0,0.4998498272980094
2022,05,-0.125,38.525,0.332,0.4711666350644939
2022,05,-0.125,38.525000000000006,0.332,0.4711666350644939
2022,05,-0.125,38.55,0.332,0.4711666350644939
2022,05,-0.125,39.975,0,0.4998498272980094
2022,05,-0.15,38.525,0.332,0.4711666350644939
2022,05,-0.15000000000000002,38.525000000000006,0.332,0.4711666350644939
2022,05,-0.15,38.55,0.332,0.4711666350644939
2022,05,-0.15000000000000002,38.55,0.332,0.4711666350644939
2022,05,-0.15000000000000002,40,0,0.4998498272980094
2022,05,-0.2,38.95,0.335,0.4722266383824593
2022,05,-0.2,38.975,0.335,0.4722266383824593
2022,05,-0.2,39,0.335,0.4722266383824593
2022,05,-0.25,38.95,0.335,0.4722266383824593
2022,05,-0.25,38.975,0.335,0.4722266383824593
2022,05,-0.25,39.1,0.335,0.4722266383824593
2022,05,-0.25,39.125,0.335,0.4722266383824593
2022,05,-0.25,39.175,0.335,0.4722266383824593
2022,05,-0.25,39.2,0.335,0.4722266383824593
2022,05,-0.25,41.45,0.111,0.3142893217686178
2022,05,-0.25,41.475,0.111,0.3142893217686178
2022,05,-0.275,38.975,0.335,0.4722266383824593
2022,05,-0.27499999999999997,39.15,0.335,0.4722266383824593
2022,05,-0.275,39.150000000000006,0.335,0.4722266383824593
2022,05,-0.275,39.175,0.335,0.4722266383824593
2022,05,-0.27499999999999997,39.2,0.335,0.4722266383824593
2022,05,-0.32499999999999996,38.55,0.332,0.4711666350644939
2022,05,-0.32499999999999996,38.574999999999996,0.332,0.4711666350644939
2022,05,-0.32499999999999996,39.025,0.335,0.4722266383824593
2022,05,-0.325,39.025000000000006,0.335,0.4722266383824593
2022,05,-0.32499999999999996,39.3,0.335,0.4722266383824593
2022,05,-0.325,39.3,0.335,0.4722266383824593
2022,05,-0.32499999999999996,39.324999999999996,0.335,0.4722266383824593
2022,05,-0.325,39.325,0.335,0.4722266383824593
2022,05,-0.32499999999999996,41.45,0.111,0.3142893217686178
2022,05,-0.32499999999999996,41.475,0.111,0.3142893217686178
2022,05,-0.375,38.525,0.332,0.4711666350644939
2022,05,-0.375,38.55,0.332,0.4711666350644939
2022,05,-0.375,38.575,0.332,0.4711666350644939
2022,05,-0.375,39,0.335,0.4722266383824593
2022,05,-0.375,39.025,0.335,0.4722266383824593
2022,05,-0.375,39.05,0.335,0.4722266383824593
2022,05,-0.375,39.074999999999996,0.335,0.4722266383824593
2022,05,-0.375,39.075,0.335,0.4722266383824593
2022,05,-0.375,39.1,0.335,0.4722266383824593
2022,05,-0.375,39.125,0.335,0.4722266383824593
2022,05,-0.375,39.2,0.335,0.4722266383824593
2022,05,-0.375,39.225,0.335,0.4722266383824593
2022,05,-0.375,39.3,0.335,0.4722266383824593
2022,05,-0.375,39.324999999999996,0.335,0.4722266383824593
2022,05,-0.375,39.4,0.335,0.4722266383824593
2022,05,-0.375,39.400000000000006,0.335,0.4722266383824593
2022,05,-0.375,39.425,0.335,0.4722266383824593
2022,05,-0.375,39.45,0.335,0.4722266383824593
2022,05,-0.375,39.475,0.335,0.4722266383824593
2022,05,-0.375,39.5,0.335,0.4722266383824593
2022,05,-0.375,41.5,0.111,0.3142893217686178
2022,05,-0.375,41.525,0.111,0.3142893217686178
2022,05,-0.4,38.5,0.332,0.4711666350644939
2022,05,-0.4,38.525,0.332,0.4711666350644939
2022,05,-0.4,38.525,0.332,0.4711666350644939
2022,05,-0.4,39.05,0.335,0.4722266383824593
2022,05,-0.4,39.074999999999996,0.335,0.4722266383824593
2022,05,-0.4,39.1,0.335,0.4722266383824593
2022,05,-0.4,39.125,0.335,0.4722266383824593
2022,05,-0.4,39.15,0.335,0.4722266383824593
2022,05,-0.4,39.150000000000006,0.335,0.4722266383824593
2022,05,-0.4,39.2,0.335,0.4722266383824593
2022,05,-0.4,39.225,0.335,0.4722266383824593
2022,05,-0.4,39.324999999999996,0.335,0.4722266383824593
2022,05,-0.4,39.4,0.335,0.4722266383824593
2022,05,-0.4,39.400000000000006,0.335,0.4722266383824593
2022,05,-0.4,39.425,0.335,0.4722266383824593
2022,05,-0.4,39.45,0.335,0.4722266383824593
2022,05,-0.4,39.475,0.335,0.4722266383824593
2022,05,-0.4,39.5,0.335,0.4722266383824593
2022,05,-0.4,39.525,0.335,0.4722266383824593
2022,05,-0.4,39.525000000000006,0.335,0.4722266383824593
2022,05,-0.4,39.55,0,0.4722266383824593
2022,05,-0.4,39.574999999999996,0,0.4722266383824593
2022,05,-0.4,39.575,0,0.4722266383824593
2022,05,-0.4,41.5,0.111,0.3142893217686178
2022,05,-0.4,41.525,0.111,0.3142893217686178
2022,05,-0.4,41.525000000000006,0.111,0.3142893217686178
2022,05,-0.425,38.35,0.332,0.4711666350644939
2022,05,-0.425,38.375,0.332,0.4711666350644939
2022,05,-0.425,38.375,0.332,0.4711666350644939
2022,05,-0.425,38.4,0.332,0.4711666350644939
2022,05,-0.425,38.425,0.332,0.4711666350644939
2022,05,-0.45,38.35,0.332,0.4711666350644939
2022,05,-0.45,38.375,0.332,0.4711666350644939
