ID_0,est,se
ALB,0,0
ARG,0.02200000000000002,0.1467567291047928
AUT,0,0
BEL,0,0
BGR,0,0
CHN,0,0
DEU,0,0
DOM,0.01200000000000001,0.10893974420691407
ESP,0,0
FRA,0,0
GRC,0,0
GTM,0.18300000000000005,0.3868600013708585
HND,0.008000000000000007,0.08912880535463237
HRV,0,0
HUN,0,0
IND,0.1563699999999999,0.18244233805557372
ITA,0,0
MEX,0.2863999525124036,0.16667240917712373
NLD,0,0
PAK,0.01200000000000001,0.10893974420691407
PER,0.02100000000000002,0.14345584540052586
PRT,0,0
ROU,0,0
SRB,0,0
SVN,0,0
TUR,0,0
USA,0.0040000000000000036,0.06315051850925682
VEN,0.707,0.45536618051668964
XKO,0,0
