ID_0,est,se
AGO,1.3090000000000002,1.250486086513936
ALB,4.156,4.494513690756742
ARE,7.61,4.641662738927468
ARG,4.977,5.6038741630490065
AUS,2.035,1.1840556572600527
AUT,11.436,16.73881413312759
AZE,5.394,5.367129074342797
BDI,0.772,0.4197525368502163
BEL,2.177,2.791666703362943
BFA,2.456,1.9482966560202941
BGD,4.798,5.529437149749558
BGR,17.535,17.21706344011362
BIH,1.753,1.5334887391094474
BLR,3.431,3.8771698110605843
BOL,0.9390000000000001,2.5292181393308137
BRA,54.278,51.12134454263017
BRN,0.829,0.3766973598273565
BWA,0.68,0.46670956473787617
CAN,0.439,0.700185705411946
CHE,7.72,6.486768050049448
CHL,5.159,5.032539626045121
CHN,1.201,0.9754660117540597
CIV,0,0
CMR,0.036,0.37795085242243714
COD,2.078,1.3218100438193408
COL,14.552999999999999,12.459513114642546
CRI,2.294,2.593282798520434
CZE,8.036999999999999,7.228539266768546
DEU,46.569,36.59688157466738
DJI,0.465,0.4990230696310783
DNK,2.265,1.6585333775894906
DOM,2.5300000000000002,2.909450572881669
DZA,40.138,34.32081501962609
ECU,5.255999999999999,4.402382127072254
EGY,19.735,16.4518387263056
ESP,2.059,3.716467614627941
EST,2.009,2.0007395980914944
ETH,2.608,2.3735290663630635
FIN,3.9,3.6482681253202527
FJI,2.648,3.7664681443339303
FRA,20.959,21.32130931579708
FRO,0.83,0.3758207567993567
GAB,0.35,0.47720826452161086
GBR,7.003,6.477655281855066
GEO,2.164,2.619530152101902
GHA,6.337,3.7232120683101755
GLP,0.522,0.4997657108743714
GMB,0.58,0.49380547166252
GNQ,0.739,0.4393996723622721
GRC,1.5170000000000001,2.4508319487412917
GTM,2.56,2.8568646298091975
HND,1.7449999999999999,2.1959954473163297
HRV,14.791,15.930162516719639
HTI,1.696,0.7184010718951498
HUN,21.41,29.027312355242444
IDN,27.428,28.104422044501067
IND,81.43,91.00341179416878
IRL,1.371,0.7938981020593041
IRN,17.794999999999998,20.52148679062408
IRQ,3.101,2.587938335843581
ISL,0.697,0.45978516983739526
ITA,31.927,33.98079233608954
JOR,5.653,4.627028484061424
JPN,0.742,0.43775292989039793
KAZ,2.824,2.430341141610427
KEN,2.839,2.196242920235294
KGZ,0.474,0.7953947805429519
KHM,2.0709999999999997,1.46141665642634
KOR,21.276,19.60310168200103
LAO,0.834,0.37226681638655706
LBN,4.163,3.891991579018713
LKA,4.069,2.6290895081143772
LTU,3.203,3.3734093514395163
LUX,2.76,2.477500499064986
LVA,1.67,1.4848667835519964
MAR,7.668,6.8172719645926305
MDG,1.23,0.961976031570576
MEX,26.855999999999998,26.882259004034168
MLT,0.877,0.9921244425573614
MMR,1.436,1.7047629989556776
MNG,0.042,0.2006895021576273
MOZ,0.018,0.13301764429463367
MRT,1.629,1.6140164142925058
MTQ,0.417,0.4933095928059319
MYS,5.376,5.818795456559739
"NAM",1.3239999999999998,0.8526318273992936
NER,0.646,1.157708663381493
NGA,12.873,8.476678941157278
NIC,2.8729999999999998,1.7779071545323655
NLD,152.78,132.08099625643902
NOR,0.983,1.000271210037682
NPL,4.024,4.942690368751969
NZL,0.018,0.13301764429463367
OMN,3.064,2.623732546597948
PAK,4.011,4.199262805535348
PAN,2.441,1.8100741633096031
PER,4.9350000000000005,6.41114719219369
PHL,5.4959999999999996,4.166210766787293
POL,11.546,10.484791821452498
PRK,0.482,0.4999259204381444
PRT,14.895,12.559500919348576
PRY,9.317,14.393382067939156
PSE,0.927,2.0300541808821184
REU,0.917,0.9928533768212984
ROU,25.635,21.810938989720235
RUS,39.293,33.897405320317624
SAU,5.734,7.013933512722852
SDN,0.727,0.9509148799600866
SEN,1.4749999999999999,1.426217066253109
SLB,0.8739999999999999,0.9588598769711534
SLE,3.168,3.9144730295531605
SLV,4.84,4.5840200888523075
SOM,2.181,1.7617099042726476
SRB,5.01,6.67123215223258
SSD,1.346,0.8989837534722127
SVK,2.961,3.162524083241919
SVN,2.24,2.030943036856967
SWE,6.523,6.770327207784964
SYR,2.84,1.9747499878841657
TCD,0.862,0.3450725649411658
TGO,0.842,0.3649235113954281
THA,18.122,14.500264233886476
TKM,0.5389999999999999,0.7479266222543186
TUN,8.704,9.477464627624805
TUR,47.362,38.95187264851175
TWN,0.31,1.1036428181761087
TZA,1.4309999999999998,0.9679696425011229
UGA,2.83,2.1605420077814537
UKR,22.429,22.002506278250294
URY,4.093,4.352847166923976
USA,22.631,23.53022913863939
UZB,6.81,6.188744145251068
VEN,3.309,3.72003212443038
VNM,6.003,5.088570848277873
XKO,0,0
YEM,0.97,0.6971223899077886
ZAF,5.009,6.329268051063425
ZMB,0.065,0.24664921616708177
