COUNTRY,ID_0,year,month,est,se
Albania,ALB,2021,04,0,0
Austria,AUT,2021,04,9.784,10.853504239763364
Belgium,BEL,2021,04,0,0
Bulgaria,BGR,2021,04,0,0
China,CHN,2021,04,0,0
Croatia,HRV,2021,04,0.357,0.4793545460103417
France,FRA,2021,04,0,0
Germany,DEU,2021,04,0.95,0.9768853513249046
Greece,GRC,2021,04,0,0
Hungary,HUN,2021,04,2.442,4.1681173286799424
India,IND,2021,04,0,0
Italy,ITA,2021,04,0.003,0.05471740119919799
Kosovo,XKO,2021,04,0,0
Netherlands,NLD,2021,04,0,0
Pakistan,PAK,2021,04,0,0
Peru,PER,2021,04,0,0
Romania,ROU,2021,04,0,0
Serbia,SRB,2021,04,0.002,0.04469897088298564
Slovenia,SVN,2021,04,0,0
Spain,ESP,2021,04,0.993,0.811474905736725
Switzerland,CHE,2021,04,2.324,1.9181254079728678
Turkey,TUR,2021,04,0,0
United States,USA,2021,04,0,0
