COUNTRY,ID_0,year,month,est,se
Albania,ALB,2017,01,0,0
Austria,AUT,2017,01,7.707,9.464735859453018
Belgium,BEL,2017,01,0,0
Bulgaria,BGR,2017,01,0,0
China,CHN,2017,01,0,0
Croatia,HRV,2017,01,0.338,0.4732652321690026
France,FRA,2017,01,0,0
Germany,DEU,2017,01,0.946,0.6814291418647115
Greece,GRC,2017,01,0,0
Hungary,HUN,2017,01,1.04,2.557459501175677
India,IND,2017,01,0,0
Italy,ITA,2017,01,0.006,0.07726558075864033
Kosovo,XKO,2017,01,0,0
Netherlands,NLD,2017,01,0,0
Pakistan,PAK,2017,01,0,0
Peru,PER,2017,01,0,0
Romania,ROU,2017,01,0,0
Serbia,SRB,2017,01,0,0
Slovenia,SVN,2017,01,0,0
Spain,ESP,2017,01,0.002,0.04469897088298564
Switzerland,CHE,2017,01,2.603,1.735165419371192
Turkey,TUR,2017,01,0,0
United States,USA,2017,01,0,0
