year,month,gid_2,se,est
2015,02,ALA.1.1_2,0,0
2015,02,ALA.1.2_2,0,0
2015,02,ALA.2.1_2,0,0
2015,02,ALA.2.2_2,0,0
2015,02,ALA.2.3_2,0,0
2015,02,ALA.2.4_2,0,0
2015,02,ALA.2.5_2,0,0
2015,02,ALA.2.6_2,0,0
2015,02,ALA.2.7_2,0,0
2015,02,ALA.2.8_2,0,0
2015,02,ALA.3.1_2,0,0
2015,02,ALB.1.1_1,0.04006294788402546,0.008301013616457176
2015,02,ALB.1.2_1,0.03971476341128871,0.03506788642140564
2015,02,ALB.1.3_1,0.037308831768616435,0.008664729451786294
2015,02,ALB.10.1_1,0.04413118722742266,0.017702813207574972
2015,02,ALB.10.2_1,0.044455478179765466,0.012456088027033565
2015,02,ALB.10.3_1,0.04849671353654546,0.008578097545794198
2015,02,ALB.11.1_1,0.05153662456310524,0.01704298263075195
2015,02,ALB.11.2_1,0.06211890849409167,0.012895076481659985
2015,02,ALB.12.1_1,0.029731726688032464,0.01388921847912162
2015,02,ALB.12.2_1,0.04626194734667648,0.01676990158903092
2015,02,ALB.12.3_1,0.05220545675344657,0.013116141958309636
2015,02,ALB.2.1_1,0.06377135579822805,0.03365634805967493
2015,02,ALB.2.2_1,0.09252088360601338,0.03896287407428491
2015,02,ALB.2.3_1,0.04978842928096137,0.01198089129368897
2015,02,ALB.3.1_1,0.04366416554139841,0.011889020329003052
2015,02,ALB.3.2_1,0.03144610691970474,0.010215956392498176
2015,02,ALB.4.1_1,0.06501280968851947,0.011589754057061318
2015,02,ALB.4.2_1,0.036839397272996795,0.0084788151055539
2015,02,ALB.4.3_1,0.051927692100339595,0.016990241713165707
2015,02,ALB.4.4_1,0.03893527431751819,0.016097108584287877
2015,02,ALB.5.1_1,0.08338224960250473,0.026702049096445565
2015,02,ALB.5.2_1,0.06369653135952615,0.01602037064506677
2015,02,ALB.5.3_1,0.03643728701897818,0.009173473728226356
2015,02,ALB.6.1_1,0.055310747934953816,0.014755751980384183
2015,02,ALB.6.2_1,0.03912003157726891,0.010671206534059017
2015,02,ALB.6.3_1,0.04018160174064773,0.0100916892818587
2015,02,ALB.7.1_1,0.06606649678636083,0.05802338374387399
2015,02,ALB.7.2_1,0.0637791931397701,0.03439199008884064
2015,02,ALB.7.3_1,0.09885364228594717,0.039023917646804636
2015,02,ALB.7.4_1,0.06719918330771149,0.032383591721111556
2015,02,ALB.8.1_1,0.030507868353496767,0.01466124904878319
2015,02,ALB.8.2_1,0.10265464760281136,0.054341774378203325
2015,02,ALB.8.3_1,0.06781107029115979,0.04198545257819567
2015,02,ALB.9.1_1,0.02578444492068037,0.010291963894423257
2015,02,ALB.9.2_1,0.0388299069606745,0.009351708956930193
2015,02,ALB.9.3_1,0.0279125400334945,0.006894784023954691
2015,02,ALB.9.4_1,0.013938939414303329,0.012000121331718168
2015,02,AND.2_1,0.04949908924591967,0.8170082606678112
2015,02,AND.3_1,0,0
2015,02,AND.4_1,0,0
2015,02,AND.5_1,0,0
2015,02,AND.6_1,0.04716720606418458,0.8380084729983179
2015,02,AND.7_1,0,0
2015,02,ARM.1_1,0,0
2015,02,ARM.2_1,0,0
2015,02,ARM.3_1,0,0
2015,02,ARM.8_1,0.0611391603086904,0.3520035590637326
2015,02,AUT.1.1_2,0.11209503956968665,0.035979287060590476
2015,02,AUT.1.2_2,0.08725877625033972,0.16473506677956112
2015,02,AUT.1.3_2,0.1626633126242503,0.029477289091707434
2015,02,AUT.1.4_2,0.12257809246831715,0.029438568742518625
2015,02,AUT.1.5_2,0.11844723109450996,0.03880325238380495
2015,02,AUT.1.6_2,0.12386012109176199,0.03611066315808615
2015,02,AUT.1.7_2,0.18969601698956176,0.03676431656908693
2015,02,AUT.1.8_2,0.2518342036597673,0.045182749932986696
2015,02,AUT.1.9_2,0.036818261070188936,0.09100092009886265
2015,02,AUT.2.10_2,0,0
2015,02,AUT.2.1_2,0,0
2015,02,AUT.2.2_2,0.18131804896889017,0.11161943670837235
2015,02,AUT.2.3_2,0.10219224557810089,0.01045778111904109
2015,02,AUT.2.4_2,0,0
2015,02,AUT.2.5_2,0,0
2015,02,AUT.2.6_2,0.16065359032265156,0.06955847990272852
2015,02,AUT.2.7_2,0.16038835666640947,0.02954274433679197
2015,02,AUT.2.8_2,0,0
2015,02,AUT.2.9_2,0.08721848231051212,0.010991557722240308
2015,02,AUT.3.10_2,0,0
2015,02,AUT.3.11_2,0,0
2015,02,AUT.3.12_2,0,0
2015,02,AUT.3.13_2,0.08852471001983511,0.0036843977474860777
2015,02,AUT.3.14_2,0,0
2015,02,AUT.3.15_2,0,0
2015,02,AUT.3.16_2,0.028933640644353564,1.5809973648186888e-4
2015,02,AUT.3.17_2,0,0
2015,02,AUT.3.18_2,0,0
2015,02,AUT.3.19_2,0.046065102587154905,9.517780074096029e-4
2015,02,AUT.3.1_2,0,0
2015,02,AUT.3.20_2,0.1261546738579587,0.0063092736939874845
2015,02,AUT.3.21_2,0,0
2015,02,AUT.3.22_2,0.06369884683456134,0.00403308603510302
2015,02,AUT.3.23_2,0,0
2015,02,AUT.3.24_2,0,0
2015,02,AUT.3.2_2,0.01918986126541196,2.905537209759647e-4
2015,02,AUT.3.3_2,0.08562352302075146,0.007995866413347923
2015,02,AUT.3.4_2,0.03979555828875311,9.94348372333014e-4
2015,02,AUT.3.5_2,0.15274391896607958,0.013129925592343189
2015,02,AUT.3.6_2,0.0777953818613197,0.0028501644627064427
2015,02,AUT.3.7_2,0.06869393936825892,0.002095623123246124
