year,month,gid_2,est,se
2016,05,AND.4_1,0,0.4446985009607709
2016,05,AND.5_1,0,0.4618975528722244
2016,05,AND.7_1,0,0.45627095369219284
2016,05,ARG.1.109_1,0,0.4998498272980094
2016,05,ARG.1.110_1,0,0.5001691405606399
2016,05,ARG.1.117_1,0,0.4995202903992194
2016,05,ARG.1.122_1,0,0.49980877224075293
2016,05,ARG.1.125_1,0,0.49996095943679536
2016,05,ARG.1.15_1,0,0.5000540511325291
2016,05,ARG.1.36_1,0,0.4996735671152454
2016,05,ARG.1.54_1,0,0.50022517452166
2016,05,ARG.1.63_1,0,0.29197474077263813
2016,05,ARG.18.11_1,0,0.39090767299812473
2016,05,ARG.18.12_1,0,0.36492351139542817
2016,05,ARG.18.13_1,0,0.3731624984510773
2016,05,ARG.18.4_1,0,0.38354413840665863
2016,05,ARG.5.1_1,0,0.37929917989348183
2016,05,ARG.6.3_1,0,0.36955049393495276
2016,05,AUS.8.68_1,0,0.38521083498181535
2016,05,BEL.1.1_1,0,0.45978516983739526
2016,05,BEL.2_1,0,0.4651455260027343
2016,05,BEL.2.4_1,0,0.4756061408363029
2016,05,BEL.3.3_1,0,0.46231237570795436
2016,05,BOL.2.8_2,0,0.39716714584887525
2016,05,BOL.2.9_2,0,0.3986915536538929
2016,05,BOL.9.6_2,0,0.39485048677557294
2016,05,BRA.16.95_2,0,0.3860375953518323
2016,05,BRA.19.68_2,0,0.39407016036651554
2016,05,BRA.20.88_2,0,0.428508599236491
2016,05,BRA.20.97_2,0,0.4197525368502163
2016,05,BRA.5.336_2,0,0.4060799193519681
2016,05,BRA.5.70_2,0,0.4082225442643334
2016,05,BRA.7.1_2,0,0.4177912750998392
2016,05,BRA.8.70_2,0,0.3963989557656934
2016,05,BRA.8.78_2,0,0.3818596821043259
2016,05,BRA.9.187_2,0,0.3986915536538929
2016,05,CAN.11.22_1,0,0.45581988961844544
2016,05,CHE.24.2_1,0,0.47152235719351987
2016,05,CHE.24.3_1,0,0.462724663395106
2016,05,CHE.24.4_1,0,0.4606378047741926
2016,05,CHE.24.5_1,0,0.4682341756463781
2016,05,CHE.26.13_1,0,0.4602127723084137
2016,05,CHE.26.4_1,0,0.45581988961844544
2016,05,CHL.14.3_1,0,0.3749394345485409
2016,05,CHL.14.4_1,0,0.38015722999769386
2016,05,CHL.14.5_1,0,0.3775692765024169
2016,05,CHL.5.2_1,0,0.3749394345485409
2016,05,CHL.6.2_1,0,0.39485048677557294
2016,05,CHL.6.3_1,0,0.3818596821043259
2016,05,CHN.6.21_1,0,0.43719805825522845
2016,05,COD.5.10_1,0,0.43719805825522845
2016,05,COL.12.25_2,0,0.4415540396938635
2016,05,COL.15.16_2,0,0.42358402168096876
2016,05,COL.15.21_2,0,0.42232020358296185
2016,05,COL.15.55_2,0,0.43265018916693676
2016,05,COL.15.96_2,0,0.43380547159664457
2016,05,COL.2.69_2,0,0.33313958333104454
2016,05,COL.25.1_2,0,0.43885372573625553
2016,05,COL.25.3_2,0,0.42668613881993056
2016,05,COL.25.4_2,0,0.44208533049564025
2016,05,COL.26.10_2,0,0.4393996723622721
2016,05,COL.31.10_2,0,0.4144535821678608
2016,05,COL.31.32_2,0,0.43380547159664457
2016,05,COL.5.1_2,0,0.432067914433232
2016,05,COL.6.9_2,0,0.44208533049564025
2016,05,CRI.4.1_1,0,0.43265018916693676
2016,05,CZE.11.12_1,0,0.4732652321690026
2016,05,CZE.11.18_1,0,0.47360669685225454
2016,05,CZE.11.19_1,0,0.4610602743422779
2016,05,DEU.3.1_1,0,0.47257520811753057
2016,05,DEU.9.34_1,0,0.46670956473787617
2016,05,DOM.11.2_1,0,0.4343785039394614
2016,05,DOM.15.1_1,0,0.44418160396092193
2016,05,DOM.21.8_1,0,0.4530576798391804
2016,05,DOM.30.6_1,0,0.4415540396938635
2016,05,DOM.31.6_1,0,0.4457237593730782
2016,05,DOM.5.1_1,0,0.44208533049564025
2016,05,DZA.14.6_1,0,0.4482375674984382
2016,05,DZA.15.2_1,0,0.4482375674984382
2016,05,DZA.15.8_1,0,0.4487319471135974
2016,05,DZA.2.26_1,0,0.4511624403111894
2016,05,DZA.2.28_1,0,0.45019848809017415
2016,05,DZA.2.5_1,0,0.4610602743422779
2016,05,DZA.21.18_1,0,0.4426137220047599
2016,05,DZA.21.7_1,0,0.4525879316064844
2016,05,DZA.4.4_1,0,0.44623214039681536
2016,05,DZA.4.7_1,0,0.4410198391212106
2016,05,DZA.47_1,0,0.4571651780264984
2016,05,DZA.47.24_1,0,0.4431392245924213
2016,05,DZA.47.64_1,0,0.4482375674984382
2016,05,ECU.1.3_1,0,0.42970763159228237
2016,05,ECU.19.6_1,0,0.42790431418963526
2016,05,ECU.19.7_1,0,0.4303024054780082
2016,05,ESP.1.1_1,0.052,0.22213812222431642
2016,05,ESP.1.2_1,0.158,0.36492351139542817
2016,05,ESP.1.3_1,0.04,0.19605723255834873
2016,05,ESP.1.4_1,0.495,0.50022517452166
2016,05,ESP.1.5_1,0,0.48277538469983333
2016,05,ESP.1.6_1,0.047,0.21174474216810163
2016,05,ESP.1.7_1,0.781,0.41377555535605315
2016,05,ESP.1.8_1,0.051,0.22010780869257557
2016,05,ESP.10.1_1,0.977,0.1499783100768024
2016,05,ESP.10.2_1,0.957,0.2029585972364615
