COUNTRY,ID_0,year,month,est,se
Albania,ALB,2022,03,0,0
Austria,AUT,2022,03,9.509,10.563165519239721
Belgium,BEL,2022,03,0,0
Bulgaria,BGR,2022,03,0,0
China,CHN,2022,03,0,0
Croatia,HRV,2022,03,0.391,0.4882185549089233
France,FRA,2022,03,0,0
Germany,DEU,2022,03,0.9329999999999999,0.7724926842071896
Greece,GRC,2022,03,0,0
Hungary,HUN,2022,03,1.17,2.2363628088621548
India,IND,2022,03,0,0
Italy,ITA,2022,03,0,0
Kosovo,XKO,2022,03,0,0
Netherlands,NLD,2022,03,0,0
Pakistan,PAK,2022,03,0,0
Peru,PER,2022,03,0,0
Romania,ROU,2022,03,0,0
Serbia,SRB,2022,03,0,0
Slovenia,SVN,2022,03,0,0
Spain,ESP,2022,03,0.212,0.7551006278074663
Switzerland,CHE,2022,03,2.398,1.8321399064644888
Turkey,TUR,2022,03,0,0
United States,USA,2022,03,0,0
