ID_0,est,se
AGO,2.3689999999999998,1.1044006861286426
ALB,4.8309999999999995,4.064978053811337
ARE,8.882,3.853400293611856
ARG,7.221,6.3730226380803225
AUS,1.8079999999999998,1.3674271188876368
AUT,12.008,11.879052408957602
AZE,5.488,5.75453382243779
BDI,0.494,0.5002141683461337
BEL,3.478,2.3765204851390274
BFA,1.32,1.8817920026243977
BGD,6.2379999999999995,4.869854037766321
BGR,18.958,16.996224267906154
BIH,1.191,1.553270740431641
BLR,6.003,3.2828173003986247
BOL,3.4250000000000003,4.508870878150802
BRA,61.732,37.51194819748216
BRN,0.716,0.4511624403111894
BWA,0.153,0.3601676286407771
CAN,0.244,0.5625558258917975
CHE,7.958,7.037955441462989
CHL,3.199,5.071326109740206
CHN,1.453,0.7988036728800851
CIV,0,0
CMR,0,0
COD,1.43,1.14639479621738
COL,17.174,12.474755723702476
CRI,2.767,1.9418607171900861
CZE,5.493,5.484619962086147
DEU,37.11,36.264193569640646
DJI,0,0
DNK,1.559,1.6084697744719914
DOM,3.625,2.810390865832212
DZA,45.153,32.463599542994054
ECU,6.607,4.079012480182139
EGY,21.763,13.315121247510948
ESP,2.729,2.3526193847159824
EST,2.2569999999999997,1.9842220432152253
ETH,3.189,1.785598652730652
FIN,3.9989999999999997,3.299430551096447
FJI,4.072,4.001353124485119
FRA,22.872,19.203385507418787
FRO,0.62,0.48562931937418674
GAB,0.563,0.4962633144584408
GBR,7.593,5.172988214136791
GEO,1.294,2.0464608243981504
GHA,5.335,4.2898836134484295
GLP,0.387,0.4873073654978636
GMB,0.944,0.2300367729666649
GNQ,0.46,0.49864681754589457
GRC,1.414,1.807292763899066
GTM,4.031,2.2692062576240875
HND,1.438,1.7314723092653534
HRV,17.169,15.946751249947697
HTI,1.766,0.6431622327668639
HUN,19.981,21.5304454102918
IDN,31.398,24.57212703479658
IND,69.43299999999999,73.26143335401308
IRL,0.992,0.3915810357378161
IRN,19.775,15.516831744113805
IRQ,3.805,3.075157161128567
ISL,0.892,0.3105357184486713
ITA,22.135,23.345393107636678
JOR,6.187,4.26722150676952
JPN,0.497,0.5002411830719671
KAZ,2.7889999999999997,2.011126193954406
KEN,3.422,2.360900169343802
KGZ,1.811,0.5750999454527999
KHM,2.046,1.3843565982308688
KOR,17.79,15.333755466954551
LAO,0.685,0.4647483092933109
LBN,3.735,2.8926259543572495
LKA,3.549,2.049293718574182
LTU,4.008,2.3610699267549933
LUX,2.557,2.343707333176812
LVA,1.2409999999999999,1.3514512010705668
MAR,8.113,7.077302035562284
MDG,0.742,0.6081989481089897
MEX,30.001,25.512517321026866
MLT,1.312,0.7735797345237556
MMR,1.477,1.5027447001620335
MNG,0.041,0.19838941090279583
MOZ,0.212,0.4089293621436632
MRT,1.717,1.2932347799438255
MTQ,0.806,0.39562674393994207
MYS,3.658,3.5388300754582
"NAM",1.607,0.7589380236630654
NER,1.085,1.3937266611994603
NGA,14.722999999999999,7.252961740979968
NIC,1.871,1.933927436041382
NLD,134.262,125.89646521953318
NOR,1.032,0.9955510954908713
NPL,0.03,0.17067257872642908
NZL,0,0
OMN,3.749,1.8234909834751347
PAK,2.414,4.450868719578916
PAN,3.66,2.0298660905596924
PER,8.267,5.680982495628592
PHL,7.318,3.0928182771557107
POL,14.267,9.374843557149479
PRK,0.754,0.4308940353145651
PRT,16.575,12.00358986365372
PRY,23.095,11.905104505814663
PSE,3.672,2.672302209810038
REU,1.7200000000000002,0.6731935597510276
ROU,25.821,21.998406174771528
RUS,44.84,32.472496190725174
SAU,7.657,6.978974780895929
SDN,0.888,0.6923411890089904
SEN,1.8339999999999999,1.2706314872427766
SLB,1.476,0.7176273930269734
SLE,0.376,1.693957937344813
SLV,6.444,4.883089946443616
SOM,2.895,1.9592541056257549
SRB,5.384,6.298570925535657
SSD,0.46799999999999997,0.6771926758933045
SVK,2.2569999999999997,2.1475315252583584
SVN,2.208,2.732591871485845
SWE,5.683,6.201056461811987
SYR,3.089,2.1094463837345256
TCD,0.664,0.47257520811753057
TGO,0.599,0.4903462444430868
THA,18.436,11.578298854970175
TKM,1.5579999999999998,0.8240268565977643
TUN,12.315,8.034879075917294
TUR,41.866,37.502999913922
TWN,0.884,0.8625576997720493
TZA,1.367,1.3683274697917391
UGA,2.786,2.2289321295233715
UKR,25.788,20.112333945250285
URY,6.209,3.19997123561261
USA,25.477,21.11325817068912
UZB,6.146,5.002091381061027
VEN,4.893,4.054802127130667
VNM,5.773,3.817238205414791
XKO,0,0
YEM,0.502,0.8621640227976983
ZAF,5.34,5.7020561628396065
ZMB,0.171,0.3766973598273565
