COUNTRY,ID_0,year,month,est,se
Switzerland,CHE,2021,06,12.664,4.060588434901637
Syria,SYR,2021,06,1.697,1.604548976733478
Taiwan,TWN,2021,06,1.091,1.5646072647779679
Tanzania,TZA,2021,06,1.935,1.0089000273401867
Thailand,THA,2021,06,10.51,10.893704812286167
Togo,TGO,2021,06,0.296,0.45671938057476014
Tunisia,TUN,2021,06,12.501,6.575118737317392
Turkey,TUR,2021,06,42.713,25.23633694709023
Turkmenistan,TKM,2021,06,1.05,0.9992409330794281
Uganda,UGA,2021,06,1.909,1.6957877859033212
Ukraine,UKR,2021,06,30.01,13.97971280174258
United Arab Emirates,ARE,2021,06,3.568,5.08310357866246
United Kingdom,GBR,2021,06,6.725,4.226605672217507
United States,USA,2021,06,30.389,17.137525202265607
Uruguay,URY,2021,06,2.059,2.8183130908566616
Uzbekistan,UZB,2021,06,5.907,5.652356464792723
Venezuela,VEN,2021,06,3.416,3.8877100487847325
Vietnam,VNM,2021,06,5.212,4.594587204949973
Yemen,YEM,2021,06,0.247,0.4844250327914804
Zambia,ZMB,2021,06,0.183,0.3868600013708585
