ID_0,est,se
ALB,0,0
AUT,0.9999991050529107,0.18553859553926638
BEL,0,0
BGR,0,0
CHE,0.99711362926,0.26101716692631055
CHN,0,0
DEU,0.9555943527999999,0.1661108442711222
ESP,0.02972181000000007,0.005641664875476493
FRA,0,0
GRC,0,0
HRV,0.16200000000000003,0.12287839150598895
HUN,0.9559732843642803,0.12904861843961832
IND,0,0
ITA,0.4594590820000001,0.006020740936814149
NLD,0.031000000000000028,4.884629615651736e-4
PAK,0,0
PER,0,0
PRT,0,0
ROU,0.018000000000000016,0.06650882214731683
SRB,0.21699999999999997,0.2062044380469787
SVN,0.399,0.163312596996285
TUR,0,0
USA,0,0
XKO,0,0
