NAME_1,year,month,est,se
Telangana,2014,06,0,0
Texas,2014,06,0.056,0.2300367729666649
Ticino,2014,06,1.206,1.301874763152051
Tiranë,2014,06,0.251,0.43380547159664457
Toscana,2014,06,1.641,2.712920289210934
Trentino-Alto Adige,2014,06,0.027,0.21312882858605922
Tucumán,2014,06,0.402,0.4905472827736758
Umbria,2014,06,0.6819999999999999,0.9467217676432143
Utrecht,2014,06,0,0
Valle d'Aosta,2014,06,0,0
Varna,2014,06,2.102,1.3575186685350968
Vas,2014,06,0.054,0.2261307920985887
Veliko Tarnovo,2014,06,1.29,1.1966032611343465
Veneto,2014,06,2.846,3.043800966119784
Veracruz,2014,06,0.008,0.08912880535463237
Veszprém,2014,06,0.398,1.00223676752552
Vlaanderen,2014,06,0,0
Vlorë,2014,06,1.674,0.6896248009666248
Vratsa,2014,06,1.834,1.438077811056829
West Bank,2014,06,0.467,0.49915945364198017
Western Cape,2014,06,0.416,0.49314012936201734
Wien,2014,06,0.003,0.05471740119919799
Yambol,2014,06,0.17,0.3758207567993567
Zadarska,2014,06,2.171,1.7533347054882715
Zagrebačka,2014,06,0.297,0.4571651780264984
Zala,2014,06,0.128,0.3342569785774528
Zapadno-Bački,2014,06,0.454,0.4981286301068551
Zeeland,2014,06,0,0
Zeeuwse meren,2014,06,0,0
Zuid Hollandse Meren,2014,06,0,0
Zuid-Holland,2014,06,0.607,0.7989976109664729
