year,month,gid_4,est,se
2021,04,ALB.11.2.15_1,0,0
2021,04,ALB.11.2.5_1,0,0
2021,04,AUT.3.14.1.1_2,0,0
2021,04,AUT.3.3.13.2_2,0,0
2021,04,AUT.3.4.12.1_2,0,0
2021,04,AUT.8.4.4.1_2,0,0
2021,04,AUT.9.1.1.20_2,0,0
2021,04,AUT.9.1.1.28_2,0,0
2021,04,BEL.2.3.4.7_1,0,0
2021,04,DEU.2.74.1.1_1,0,0
2021,04,DEU.8.2.9.1_1,0,0
2021,04,DEU.9.10.13.1_1,0,0
2021,04,DEU.9.38.8.3_1,0,0
2021,04,DEU.9.4.12.1_1,0,0
2021,04,ESP.1.3.2.4_1,0,0
2021,04,ESP.1.3.4.5_1,0,0
2021,04,ESP.1.3.6.3_1,0,0
2021,04,ESP.1.4.5.19_1,0,0
2021,04,ESP.1.4.7.7_1,0,0
2021,04,ESP.1.6.2.4_1,0,0
2021,04,ESP.1.7.1.20_1,0,0
2021,04,ESP.1.7.2.11_1,0,0
2021,04,ESP.1.7.4.1_1,0,0
2021,04,ESP.1.8.2.4_1,0,0
2021,04,ESP.1.8.3.15_1,0,0
2021,04,ESP.1.8.3.18_1,0,0
2021,04,ESP.1.8.3.3_1,0,0
2021,04,ESP.1.8.3.4_1,0,0
2021,04,ESP.1.8.3.7_1,0,0
2021,04,ESP.1.8.4.15_1,0,0
2021,04,ESP.1.8.4.17_1,0,0
2021,04,ESP.10.1.4.23_1,0,0
2021,04,ESP.10.1.6.26_1,0,0
2021,04,ESP.10.1.8.2_1,0,0
2021,04,ESP.10.3.10.3_1,0,0
2021,04,ESP.10.3.10.5_1,0,0
2021,04,ESP.10.3.11.14_1,0,0
2021,04,ESP.10.3.13.34_1,0,0
2021,04,ESP.10.3.13.9_1,0,0
2021,04,ESP.10.3.6.4_1,0,0
2021,04,ESP.10.3.7.15_1,0,0
2021,04,ESP.10.3.7.22_1,0,0
2021,04,ESP.10.3.7.5_1,0,0
2021,04,ESP.11.2.10.10_1,0,0
2021,04,ESP.11.2.10.22_1,0,0
2021,04,ESP.11.2.6.20_1,0,0
2021,04,ESP.12.1.1.28_1,0,0
2021,04,ESP.12.1.1.29_1,0,0
2021,04,ESP.12.2.2.6_1,0,0
2021,04,ESP.12.4.1.9_1,0,0
2021,04,ESP.16.1.2.4_1,0,0
2021,04,ESP.16.2.1.20_1,0,0
2021,04,ESP.16.3.1.28_1,0,0
2021,04,ESP.16.3.1.87_1,0,0
2021,04,ESP.16.3.1.90_1,0,0
2021,04,ESP.16.3.1.91_1,0,0
2021,04,ESP.17.1.1.2_1,0,0
2021,04,ESP.17.1.8.10_1,0,0
2021,04,ESP.18.1.12.6_1,0,0
2021,04,ESP.18.1.3.5_1,0,0
2021,04,ESP.18.1.5.3_1,0,0
2021,04,ESP.2.2.2.51_1,0,0
2021,04,ESP.2.3.2.61_1,0,0
2021,04,ESP.4.2.2.17_1,0,0
2021,04,ESP.4.2.4.9_1,0,0
2021,04,ESP.4.4.4.6_1,0,0
2021,04,ESP.4.5.6.28_1,0,0
