year,month,gid_3,est,se
2020,09,ESP.10.1.1_1,0.749,0.43380547159664457
2020,09,ESP.10.1.2_1,0.195,0.3963989557656934
2020,09,ESP.10.1.4_1,1,0
2020,09,ESP.10.1.5_1,0.284,0.4511624403111894
2020,09,ESP.10.1.6_1,1,0
2020,09,ESP.10.1.7_1,0.413,0.49261919742705285
2020,09,ESP.10.1.8_1,0.56,0.49663532561291557
2020,09,ESP.10.1.9_1,0.997,0.054717401199198
2020,09,ESP.10.2.3_1,0.218,0.4130939925085411
2020,09,ESP.10.2.5_1,0.235,0.42421097929562707
2020,09,ESP.10.2.7_1,0.342,0.47461696267754827
2020,09,ESP.10.2.8_1,0.618,0.48611964814468495
2020,09,ESP.10.3.1_1,0.854,0.3532829019480122
2020,09,ESP.10.3.10_1,0.575,0.4945903553645376
2020,09,ESP.10.3.11_1,0.594,0.4913302406787164
2020,09,ESP.10.3.12_1,0,0
2020,09,ESP.10.3.13_1,0.436,0.4961352135760474
2020,09,ESP.10.3.14_1,0.238,0.42607222103481185
2020,09,ESP.10.3.16_1,0.071,0.25695335184625445
2020,09,ESP.10.3.18_1,0.332,0.4711666350644939
2020,09,ESP.10.3.2_1,0.727,0.4457237593730782
2020,09,ESP.10.3.4_1,0.443,0.49698893146427114
2020,09,ESP.10.3.6_1,0.165,0.37136627864268035
2020,09,ESP.10.3.7_1,0.551,0.4976410821532389
2020,09,ESP.10.3.8_1,0.602,0.48973037054672836
