COUNTRY,ID_0,year,month,est,se
Albania,ALB,2022,02,0,0
Austria,AUT,2022,02,8.596,10.079317434383482
Belgium,BEL,2022,02,0,0
Bulgaria,BGR,2022,02,0,0
China,CHN,2022,02,0,0
Croatia,HRV,2022,02,0.365,0.4816710568500115
France,FRA,2022,02,0,0
Germany,DEU,2022,02,0.9369999999999999,0.7201665978963724
Greece,GRC,2022,02,0,0
Hungary,HUN,2022,02,1.021,2.1116257066077972
India,IND,2022,02,0,0
Italy,ITA,2022,02,0,0
Kosovo,XKO,2022,02,0,0
Netherlands,NLD,2022,02,0,0
Pakistan,PAK,2022,02,0,0
Peru,PER,2022,02,0,0
Romania,ROU,2022,02,0,0
Serbia,SRB,2022,02,0,0
Slovenia,SVN,2022,02,0,0
Spain,ESP,2022,02,0.086,0.42464865712402655
Switzerland,CHE,2022,02,2.52,1.7722396049791544
Turkey,TUR,2022,02,0,0
United States,USA,2022,02,0,0
