ID_1,est,se
ALB.1_1,0.127,0.33313958333104454
ALB.11_1,1,0.24744490089508608
ALB.12_1,1,0.05217731760518619
ALB.3_1,0.996,0.06315051850925682
ALB.5_1,0.0040000000000000036,0.06315051850925682
ALB.7_1,0.791,0.4067978422810088
ALB.9_1,0.622,0.48513024163759505
ARE.3_1,0.978,0.1467567291047928
AUT.1_1,0.24,0.42729683193604723
AUT.2_1,0.8568520000000001,0.3210602348394359
AUT.3_1,0.8439916984267053,0.234229867783894
AUT.4_1,0.06428608000000002,0.0318196583991182
AUT.6_1,0.399496159,0.163761826231179
AUT.7_1,0.038000000000000034,0.19129190414806527
AUT.8_1,0.7318,0.4581597453932928
AUT.9_1,0,0
BEL.1_1,0.664,0.47257520811753057
BEL.2_1,0.744,0.08732803780107615
BEL.3_1,0.11699999999999999,0.32158111638343195
BGR.13_1,0,0
BGR.15_1,0,0
BGR.24_1,0,0
BGR.5_1,0,0
CHE.21_1,0.61,0.4879939939570344
CHE.26_1,0.56,0.49663532561291557
CHE.6_1,0.8403609999999999,0.48975891878096556
CHN.HKG,0,0
COL.4_2,0,0
CZE.12_1,0.875,0.33088439746304826
CZE.9_1,0.22099999999999997,0.41512809027013736
DEU.1_1,0.9975969290762264,0.27712829378918624
DEU.10_1,0.939727333,0.2852581547792696
DEU.11_1,0.990994,0.2939220113923652
DEU.13_1,0.0010000000000000009,0.03162277660168379
DEU.3_1,0,0
DEU.7_1,0.932,0.2518718710762269
DEU.9_1,0.973855,0.3094100991321563
DNK.4_1,0.99,0.0995485304256668
ESP.1_1,0.9999934730575041,0.273934620579406
ESP.10_1,0.3075840000000001,0.1828279318462341
ESP.11_1,0.27123200000000003,0.3248946549084406
ESP.12_1,0.009990999999999972,0.03152762242682327
ESP.13_1,0.21699999999999997,0.4124088760939574
ESP.14_1,0.712,0.2265288399195902
ESP.15_1,0.010000000000000009,0.0995485304256668
ESP.16_1,0.39161599999999996,0.27628362031389675
ESP.17_1,0.32000000000000006,0.46670956473787617
ESP.18_1,0.31299999999999994,0.4639463829433809
ESP.2_1,0.344,0.15842624989070533
ESP.3_1,0,0
ESP.4_1,0.895,0.06134136257667222
ESP.5_1,0.031731837160000054,0.035763812000359774
ESP.6_1,0.9840040720000001,0.30681390678838544
