year,month,gid_1,se,est
2026,02,ALA.1_2,0,0
2026,02,ALA.2_2,0,0
2026,02,ALA.3_2,0,0
2026,02,ALB.10_1,0,0
2026,02,ALB.11_1,0,0
2026,02,ALB.12_1,0,0
2026,02,ALB.1_1,0,0
2026,02,ALB.2_1,0,0
2026,02,ALB.3_1,0,0
2026,02,ALB.4_1,0,0
2026,02,ALB.5_1,0,0
2026,02,ALB.6_1,0,0
2026,02,ALB.7_1,0,0
2026,02,ALB.8_1,0,0
2026,02,ALB.9_1,0,0
2026,02,AND.2_1,0,0
2026,02,AND.3_1,0,0
2026,02,AND.4_1,0,0
2026,02,AND.5_1,0,0
2026,02,AND.6_1,0,0
2026,02,AND.7_1,0,0
2026,02,ARM.1_1,0,0
2026,02,ARM.2_1,0,0
2026,02,ARM.3_1,0,0
2026,02,ARM.8_1,0,0
2026,02,AUT.1_1,0.12678743963335573,0.011108187453480748
2026,02,AUT.2_1,0.043208777876061234,5.535231507017247e-4
2026,02,AUT.3_1,0.06831278404290037,3.805606683238151e-4
2026,02,AUT.4_1,0.25859598826197705,0.012737505377761747
2026,02,AUT.5_1,0.030021333575258193,0.001069765012828849
2026,02,AUT.6_1,0.2424409799970723,0.015555661366269532
2026,02,AUT.7_1,0.0839540520477697,0.006055026301465549
2026,02,AUT.8_1,0.01855436247729688,7.141779122657138e-4
2026,02,AUT.9_1,0.2468686418678827,0.29263946649138156
2026,02,AZE.7_1,0,0
2026,02,BEL.1_1,0,0
2026,02,BEL.2_1,0.10871364977853133,0.009492406814415924
2026,02,BEL.3_1,0.05181178051471812,0.002343323048119973
2026,02,BGR.10_1,0,0
2026,02,BGR.11_1,0,0
2026,02,BGR.12_1,0,0
2026,02,BGR.13_1,0,0
2026,02,BGR.14_1,0,0
2026,02,BGR.15_1,0,0
2026,02,BGR.16_1,0,0
2026,02,BGR.17_1,0,0
2026,02,BGR.18_1,0,0
2026,02,BGR.19_1,0,0
2026,02,BGR.1_1,0,0
2026,02,BGR.20_1,0,0
2026,02,BGR.21_1,0,0
2026,02,BGR.22_1,0,0
2026,02,BGR.23_1,0,0
2026,02,BGR.24_1,0,0
2026,02,BGR.25_1,0,0
2026,02,BGR.26_1,0,0
2026,02,BGR.27_1,0,0
2026,02,BGR.28_1,0,0
2026,02,BGR.2_1,0,0
2026,02,BGR.3_1,0,0
2026,02,BGR.4_1,0,0
2026,02,BGR.5_1,0,0
