COUNTRY,ID_0,year,month,est,se
Albania,ALB,2021,02,0,0
Austria,AUT,2021,02,8.035,9.134137828653417
Belgium,BEL,2021,02,0,0
Bulgaria,BGR,2021,02,0,0
China,CHN,2021,02,0,0
Croatia,HRV,2021,02,0.34,0.47394580346767984
France,FRA,2021,02,0,0
Germany,DEU,2021,02,0.977,0.8091684369575154
Greece,GRC,2021,02,0,0
Hungary,HUN,2021,02,1.274,2.7119333496470155
India,IND,2021,02,0,0
Italy,ITA,2021,02,0.005,0.07056897321046962
Kosovo,XKO,2021,02,0,0
Netherlands,NLD,2021,02,0,0
Pakistan,PAK,2021,02,0,0
Peru,PER,2021,02,0,0
Romania,ROU,2021,02,0,0
Serbia,SRB,2021,02,0,0
Slovenia,SVN,2021,02,0,0
Spain,ESP,2021,02,0.125,0.5095184540702629
Switzerland,CHE,2021,02,2.584,1.7640452301551868
Turkey,TUR,2021,02,0,0
United States,USA,2021,02,0,0
