ID_0,est,se
ALB,0.9804721274442479,0.28022897789003975
ARG,0.36842726534296,0.20640224943150126
AUT,0.31724041516,0.042355055043891726
BEL,0,0
BGR,0.9999989751275906,0.3559310558770615
BIH,0.837172198,0.4319803144146961
BRA,0.803064156,0.36432649492160535
CHE,0.15318356799999988,0.20356735525891523
CHN,1,0.05720715723602123
COL,0.22099999999999997,0.41512809027013736
DEU,0,0
ESP,0.8728969678618654,0.05528284865391998
FJI,0.71,0.4539891035103223
FRA,0.9783842462089546,0.15387342630194012
GRC,0.33516115,0.21381043834313065
GTM,0.5601670000000001,0.4443360701675409
HND,0.18999999999999995,0.3924972026066607
HRV,0.9993480540833123,0.41882306318188384
HUN,0.964657117987847,0.18015841274465522
IND,0.38718870399999983,0.2447932043259063
ITA,0.9999998766951069,0.19689108512806036
KOR,0.6464000000000001,0.4832796960179428
LKA,0.18700000000000006,0.3901066305296325
MEX,0.09185500000000013,0.2108930730382975
MMR,0.486,0.5000540511325291
NLD,0.521152,0.002136933086393137
PAK,0,0
PAN,0.019000000000000017,0.13659303663678343
PER,0,0
PRT,0.6124530242512001,0.22685020466714764
PSE,0.2829999999999999,0.4506818324651152
ROU,0.638848,0.28868771050146047
SLB,0.58,0.49380547166252
SRB,0.6730015518555026,0.2734551838793958
SVN,0.33131935928799994,0.19714905627775023
THA,0.344,0.475278749672116
TUR,0.9999995708040337,0.32491119609508196
USA,0.39169599220247586,0.14784626591716027
XKO,0.19399999999999995,0.39562674393994207
ZAF,0.15700000000000003,0.3639828065767441
