COUNTRY,ID_0,year,month,est,se
Albania,ALB,2021,03,0,0
Austria,AUT,2021,03,8.591,9.51201383437417
Belgium,BEL,2021,03,0,0
Bulgaria,BGR,2021,03,0,0
China,CHN,2021,03,0,0
Croatia,HRV,2021,03,0.347,0.4762539425745658
France,FRA,2021,03,0,0
Germany,DEU,2021,03,0.966,0.8469307162811096
Greece,GRC,2021,03,0,0
Hungary,HUN,2021,03,1.576,3.096002634893929
India,IND,2021,03,0,0
Italy,ITA,2021,03,0.005,0.07056897321046962
Kosovo,XKO,2021,03,0,0
Netherlands,NLD,2021,03,0,0
Pakistan,PAK,2021,03,0,0
Peru,PER,2021,03,0,0
Romania,ROU,2021,03,0,0
Serbia,SRB,2021,03,0,0
Slovenia,SVN,2021,03,0,0
Spain,ESP,2021,03,0.5,0.8483426013093275
Switzerland,CHE,2021,03,2.491,1.8238520645918865
Turkey,TUR,2021,03,0,0
United States,USA,2021,03,0,0
